	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
final_contigs_AG-910-A06_AG-910-A06_NODE_1_112	final_contigs_AG-910-A06	AG-910-A06_NODE_1	112	112220	112714	1	C	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]								Cytidylyltransferase-like [PF01467.30]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_113	final_contigs_AG-910-A06	AG-910-A06_NODE_1	113	112707	113264	1	D										Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD [PF00160.25]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_114	final_contigs_AG-910-A06	AG-910-A06_NODE_1	114	113275	114393	1	C	K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29]								Queuine tRNA-ribosyltransferase [PF01702.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_115	final_contigs_AG-910-A06	AG-910-A06_NODE_1	115	114525	115319	-1	C	K23010	metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-]	MER0052719	M48C	MER0052719 - subfamily M48C unassigned peptidases (Pelagibacter ubique) [M48.UPC]#M48C#{peptidase unit: 1-250}~source AAZ21798~	True	0.731	369.0	1.864e-114	Peptidase family M48 [PF01435.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_116	final_contigs_AG-910-A06	AG-910-A06_NODE_1	116	115393	116016	1	D										Protein of unknown function (DUF502) [PF04367.17]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_117	final_contigs_AG-910-A06	AG-910-A06_NODE_1	117	116009	118051	-1	C	K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]								RecG wedge domain [PF17191.8]; ATP-dependent DNA helicase RecG, domain 3, C-terminal [PF19833.3]; Helicase conserved C-terminal domain [PF00271.35]; DEAD/DEAH box helicase [PF00270.33]; Type III restriction enzyme, res subunit [PF04851.19]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_118	final_contigs_AG-910-A06	AG-910-A06_NODE_1	118	118078	118323	1	D										Flavinator of succinate dehydrogenase [PF03937.20]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_119	final_contigs_AG-910-A06	AG-910-A06_NODE_1	119	118500	119381	1	C	K05786	chloramphenicol-sensitive protein RarD								EamA-like transporter family [PF00892.24]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_120	final_contigs_AG-910-A06	AG-910-A06_NODE_1	120	119368	120366	1	C	K08305	peptidoglycan lytic transglycosylase B [EC:4.2.2.29]								Transglycosylase SLT domain [PF13406.10]	GH103	GH103 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH103.hmm	0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_121	final_contigs_AG-910-A06	AG-910-A06_NODE_1	121	120356	121183	1	E															0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_122	final_contigs_AG-910-A06	AG-910-A06_NODE_1	122	121180	122334	1	C	K07258	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	MER0139411	S11	MER0139411 - family S11 unassigned peptidases (Pelagibacter sp. HTCC7211) [S11.UPW]#S11#{peptidase unit: 19-273}~source EDZ60541~	True	0.84	441.0	6.441e-137	D-alanyl-D-alanine carboxypeptidase [PF00768.24]; Penicillin-binding protein 5, C-terminal domain [PF07943.17]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_123	final_contigs_AG-910-A06	AG-910-A06_NODE_1	123	122327	122947	1	C	K00943	dTMP kinase [EC:2.7.4.9]								Thymidylate kinase [PF02223.21]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_124	final_contigs_AG-910-A06	AG-910-A06_NODE_1	124	122948	123868	1	D										DNA polymerase III, delta subunit [PF13177.10]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_125	final_contigs_AG-910-A06	AG-910-A06_NODE_1	125	123918	125399	1	C	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]								tRNA synthetases class I (M) [PF09334.15]; tRNA synthetases class I (I, L, M and V) [PF00133.26]; Anticodon binding domain of methionyl tRNA ligase [PF19303.3]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_126	final_contigs_AG-910-A06	AG-910-A06_NODE_1	126	125392	126153	1	C	K03424	TatD DNase family protein [EC:3.1.21.-]								TatD related DNase [PF01026.25]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_127	final_contigs_AG-910-A06	AG-910-A06_NODE_1	127	126150	126923	1	C	K06167	phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]								Beta-lactamase superfamily domain [PF12706.11]; Metallo-beta-lactamase superfamily [PF00753.31]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_128	final_contigs_AG-910-A06	AG-910-A06_NODE_1	128	126915	127463	-1	C	K00432	glutathione peroxidase [EC:1.11.1.9]								Glutathione peroxidase [PF00255.23]; Redoxin [PF08534.14]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_129	final_contigs_AG-910-A06	AG-910-A06_NODE_1	129	127472	128644	-1	C	K03313	Na+:H+ antiporter, NhaA family								Na+/H+ antiporter 1 [PF06965.16]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_130	final_contigs_AG-910-A06	AG-910-A06_NODE_1	130	128647	129147	-1	D										zinc-ribbon domain [PF13717.10]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_131	final_contigs_AG-910-A06	AG-910-A06_NODE_1	131	129325	129606	1	C	K03937	NADH dehydrogenase (ubiquinone) Fe-S protein 4								NADH dehydrogenase ubiquinone Fe-S protein 4 [PF04800.16]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_132	final_contigs_AG-910-A06	AG-910-A06_NODE_1	132	129606	130601	1	C	K17938	peptide/bleomycin uptake transporter								SbmA/BacA-like family [PF05992.16]; ABC transporter transmembrane region 2 [PF06472.19]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_133	final_contigs_AG-910-A06	AG-910-A06_NODE_1	133	130605	131549	1	D										Bacterial fructose-1,6-bisphosphatase, glpX-encoded [PF03320.17]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_134	final_contigs_AG-910-A06	AG-910-A06_NODE_1	134	131664	132110	-1	E															0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_135	final_contigs_AG-910-A06	AG-910-A06_NODE_1	135	132111	132584	1	C	K17662	cytochrome b pre-mRNA-processing protein 3								Ubiquinol-cytochrome C chaperone [PF03981.16]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_136	final_contigs_AG-910-A06	AG-910-A06_NODE_1	136	132587	132766	1	C	K02911	large subunit ribosomal protein L32								Ribosomal L32p protein family [PF01783.27]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_137	final_contigs_AG-910-A06	AG-910-A06_NODE_1	137	132772	133779	1	C	K03621	phosphate acyltransferase [EC:2.3.1.274]								Fatty acid synthesis protein [PF02504.19]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_138	final_contigs_AG-910-A06	AG-910-A06_NODE_1	138	133780	134076	1	D										Bacterial DNA-binding protein [PF00216.25]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_139	final_contigs_AG-910-A06	AG-910-A06_NODE_1	139	134069	134440	1	E															0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_140	final_contigs_AG-910-A06	AG-910-A06_NODE_1	140	134442	134633	1	C	K02913	large subunit ribosomal protein L33													0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_141	final_contigs_AG-910-A06	AG-910-A06_NODE_1	141	134635	134928	-1	D										Chorismate mutase type II [PF01817.25]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_142	final_contigs_AG-910-A06	AG-910-A06_NODE_1	142	134972	136003	1	C	K02259	heme a synthase [EC:1.17.99.9]								Cytochrome oxidase assembly protein [PF02628.19]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_143	final_contigs_AG-910-A06	AG-910-A06_NODE_1	143	135981	137306	-1	C	K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]								Cys/Met metabolism PLP-dependent enzyme [PF01053.24]; Aminotransferase class-V [PF00266.23]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_144	final_contigs_AG-910-A06	AG-910-A06_NODE_1	144	137385	138203	-1	D			MER0057574	S33	MER0057574 - SCO7095-type peptidase (Pelagibacter ubique) [S33.010]#S33#{peptidase unit: 7-258}~source YP_265672~	False	0.497	239.0	4.328e-69	alpha/beta hydrolase fold [PF00561.24]; Serine aminopeptidase, S33 [PF12146.12]; Alpha/beta hydrolase family [PF12697.11]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.16]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.22]; Lipase (class 2) [PF01674.22]; Phospholipase/Carboxylesterase [PF02230.20]; Prolyl oligopeptidase family [PF00326.25]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_145	final_contigs_AG-910-A06	AG-910-A06_NODE_1	145	138200	139531	-1	C	K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]								Cys/Met metabolism PLP-dependent enzyme [PF01053.24]; Aminotransferase class-V [PF00266.23]; DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.21]; Orn/Lys/Arg decarboxylase, major domain [PF01276.24]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_146	final_contigs_AG-910-A06	AG-910-A06_NODE_1	146	139679	140137	1	C	K02871	large subunit ribosomal protein L13								Ribosomal protein L13 [PF00572.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_147	final_contigs_AG-910-A06	AG-910-A06_NODE_1	147	140139	140570	1	C	K02996	small subunit ribosomal protein S9								Ribosomal protein S9/S16 [PF00380.23]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_148	final_contigs_AG-910-A06	AG-910-A06_NODE_1	148	140604	141629	1	C	K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]								Semialdehyde dehydrogenase, dimerisation domain [PF02774.22]; Semialdehyde dehydrogenase, NAD binding domain [PF01118.28]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_149	final_contigs_AG-910-A06	AG-910-A06_NODE_1	149	141622	141828	1	E															0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_150	final_contigs_AG-910-A06	AG-910-A06_NODE_1	150	141833	143122	1	C	K00003	homoserine dehydrogenase [EC:1.1.1.3]								Homoserine dehydrogenase [PF00742.23]; Homoserine dehydrogenase, NAD binding domain [PF03447.20]; ACT domain [PF01842.29]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_151	final_contigs_AG-910-A06	AG-910-A06_NODE_1	151	143122	144021	1	D										Membrane transport protein [PF03547.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_152	final_contigs_AG-910-A06	AG-910-A06_NODE_1	152	144038	144898	1	C	K15270	S-adenosylmethionine uptake transporter								EamA-like transporter family [PF00892.24]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_153	final_contigs_AG-910-A06	AG-910-A06_NODE_1	153	145424	145699	-1	D										6-O-methylguanine DNA methyltransferase, DNA binding domain [PF01035.24]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_154	final_contigs_AG-910-A06	AG-910-A06_NODE_1	154	145996	146469	-1	D										Protein of unknown function (DUF2938) [PF11158.12]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_155	final_contigs_AG-910-A06	AG-910-A06_NODE_1	155	146725	147678	1	D										Phage integrase family [PF00589.26]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_156	final_contigs_AG-910-A06	AG-910-A06_NODE_1	156	147684	148535	1	E															0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_157	final_contigs_AG-910-A06	AG-910-A06_NODE_1	157	148559	149557	-1	D										GDP-mannose 4,6 dehydratase [PF16363.9]; NAD dependent epimerase/dehydratase family [PF01370.25]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.23]; RmlD substrate binding domain [PF04321.21]; Polysaccharide biosynthesis protein [PF02719.19]; NmrA-like family [PF05368.17]; NAD(P)H-binding [PF13460.10]; Male sterility protein [PF07993.16]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_158	final_contigs_AG-910-A06	AG-910-A06_NODE_1	158	149654	150547	-1	E															0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_159	final_contigs_AG-910-A06	AG-910-A06_NODE_1	159	150713	152842	-1	C	K06320	spore maturation protein CgeB								Glycosyl transferases group 1 [PF00534.24]; Glycosyl transferases group 1 [PF13692.10]; Glycosyl transferases group 1 [PF13524.10]; Family 4 Glycosyltransferase in conflict systems [PF20706.1]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_160	final_contigs_AG-910-A06	AG-910-A06_NODE_1	160	152814	153095	-1	C	K07461	putative endonuclease								GIY-YIG catalytic domain [PF01541.28]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_161	final_contigs_AG-910-A06	AG-910-A06_NODE_1	161	153189	155294	-1	C	K15987	K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.2.3.1]								Inorganic H+ pyrophosphatase [PF03030.20]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_162	final_contigs_AG-910-A06	AG-910-A06_NODE_1	162	155369	156328	-1	C	K00946	thiamine-monophosphate kinase [EC:2.7.4.16]								AIR synthase related protein, C-terminal domain [PF02769.26]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_163	final_contigs_AG-910-A06	AG-910-A06_NODE_1	163	156321	156725	-1	D										NusB family [PF01029.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_164	final_contigs_AG-910-A06	AG-910-A06_NODE_1	164	156729	157115	-1	C	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]								6,7-dimethyl-8-ribityllumazine synthase [PF00885.23]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_165	final_contigs_AG-910-A06	AG-910-A06_NODE_1	165	157112	158227	-1	C	K14652	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]								3,4-dihydroxy-2-butanone 4-phosphate synthase [PF00926.23]; GTP cyclohydrolase II [PF00925.24]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_166	final_contigs_AG-910-A06	AG-910-A06_NODE_1	166	158214	158807	-1	C	K00793	riboflavin synthase [EC:2.5.1.9]								Lumazine binding domain [PF00677.21]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_167	final_contigs_AG-910-A06	AG-910-A06_NODE_1	167	158809	159906	-1	C	K11752	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]								RibD C-terminal domain [PF01872.21]; MafB19-like deaminase [PF14437.10]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.27]; Invertebrate-AID/APOBEC-deaminase [PF18785.5]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_168	final_contigs_AG-910-A06	AG-910-A06_NODE_1	168	159887	160345	-1	C	K07738	transcriptional repressor NrdR								ATP cone domain [PF03477.20]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_169	final_contigs_AG-910-A06	AG-910-A06_NODE_1	169	160355	161665	-1	C	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]								Serine hydroxymethyltransferase [PF00464.23]; Aminotransferase class I and II [PF00155.25]; Cys/Met metabolism PLP-dependent enzyme [PF01053.24]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_170	final_contigs_AG-910-A06	AG-910-A06_NODE_1	170	161672	162091	-1	C	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]								Ribose/Galactose Isomerase [PF02502.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_171	final_contigs_AG-910-A06	AG-910-A06_NODE_1	171	162093	162737	-1	D										Aspartyl/Asparaginyl beta-hydroxylase [PF05118.19]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_172	final_contigs_AG-910-A06	AG-910-A06_NODE_1	172	162806	163786	1	C	K01698	porphobilinogen synthase [EC:4.2.1.24]								Delta-aminolevulinic acid dehydratase [PF00490.25]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_173	final_contigs_AG-910-A06	AG-910-A06_NODE_1	173	163787	164461	-1	C	K03584	DNA repair protein RecO (recombination protein O)								Recombination protein O N terminal [PF11967.12]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_174	final_contigs_AG-910-A06	AG-910-A06_NODE_1	174	164458	165123	-1	C	K03685	ribonuclease III [EC:3.1.26.3]								Ribonuclease-III-like [PF14622.10]; Ribonuclease III domain [PF00636.30]; Double-stranded RNA binding motif [PF00035.30]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_175	final_contigs_AG-910-A06	AG-910-A06_NODE_1	175	165126	165854	-1	C	K03100	signal peptidase I [EC:3.4.21.89]	MER1336880	S26A	MER1336880 - subfamily S26A unassigned peptidases (Pelagibacter ubique) [S26.UPA]#S26A#{peptidase unit: 23-237}~source WP_075521512~	True	0.816	361.0	5.165e-112	Signal peptidase, peptidase S26 [PF10502.13]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_176	final_contigs_AG-910-A06	AG-910-A06_NODE_1	176	165851	166240	-1	C	K00997	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]								4'-phosphopantetheinyl transferase superfamily [PF01648.24]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_177	final_contigs_AG-910-A06	AG-910-A06_NODE_1	177	166240	166959	-1	C	K03474	pyridoxine 5-phosphate synthase [EC:2.6.99.2]								Pyridoxal phosphate biosynthesis protein PdxJ [PF03740.17]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_178	final_contigs_AG-910-A06	AG-910-A06_NODE_1	178	166956	167546	-1	C	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10]								Phosphoribosyl transferase domain [PF00156.31]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_179	final_contigs_AG-910-A06	AG-910-A06_NODE_1	179	167503	169245	-1	D										HD domain [PF13328.10]; Region found in RelA / SpoT proteins [PF04607.21]; TGS domain [PF02824.25]; ACT domain [PF13291.10]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_180	final_contigs_AG-910-A06	AG-910-A06_NODE_1	180	169262	169792	-1	C	K00950	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]								7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK) [PF01288.24]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_181	final_contigs_AG-910-A06	AG-910-A06_NODE_1	181	169758	170228	-1	C	K03664	SsrA-binding protein								SmpB protein [PF01668.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_182	final_contigs_AG-910-A06	AG-910-A06_NODE_1	182	170221	171108	-1	C	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]								Dihydrodipicolinate synthetase family [PF00701.26]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_183	final_contigs_AG-910-A06	AG-910-A06_NODE_1	183	171136	173322	1	C	K08309	peptidoglycan lytic transglycosylase [EC:4.2.2.29]								Transglycosylase SLT domain [PF01464.24]	GH23	GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)	3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1	GH23.hmm	0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_184	final_contigs_AG-910-A06	AG-910-A06_NODE_1	184	173478	174731	1	C	K00303	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]								FAD dependent oxidoreductase [PF01266.28]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_185	final_contigs_AG-910-A06	AG-910-A06_NODE_1	185	174731	175006	1	C	K00304	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]								Sarcosine oxidase, delta subunit family [PF04267.16]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_186	final_contigs_AG-910-A06	AG-910-A06_NODE_1	186	175007	178009	1	C	K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]								Aminomethyltransferase folate-binding domain [PF01571.25]; Sarcosine oxidase A3 domain [PF17806.5]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.18]; Glycine cleavage T-protein C-terminal barrel domain [PF08669.15]; 2Fe-2S iron-sulfur cluster binding domain [PF13510.10]; FAD dependent oxidoreductase [PF12831.11]; FAD binding domain [PF00890.28]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_187	final_contigs_AG-910-A06	AG-910-A06_NODE_1	187	178002	178547	1	D										Sarcosine oxidase, gamma subunit family [PF04268.16]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_1_188	final_contigs_AG-910-A06	AG-910-A06_NODE_1	188	178509	179684	-1	D										MatE [PF01554.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_1	final_contigs_AG-910-A06	AG-910-A06_NODE_10	1	1	513	1	C	K03335	inosose dehydratase [EC:4.2.1.44]								Xylose isomerase-like TIM barrel [PF01261.28]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_2	final_contigs_AG-910-A06	AG-910-A06_NODE_10	2	508	1464	-1	D										D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.23]; D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain [PF00389.34]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_3	final_contigs_AG-910-A06	AG-910-A06_NODE_10	3	1481	2470	-1	D										Phytanoyl-CoA dioxygenase (PhyH) [PF05721.17]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_4	final_contigs_AG-910-A06	AG-910-A06_NODE_10	4	2476	3336	-1	D										2OG-Fe(II) oxygenase superfamily [PF13640.10]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_5	final_contigs_AG-910-A06	AG-910-A06_NODE_10	5	3337	4281	-1	C	K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]								Ketopantoate reductase PanE/ApbA [PF02558.20]; Ketopantoate reductase PanE/ApbA C terminal [PF08546.15]; NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus [PF01210.27]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_6	final_contigs_AG-910-A06	AG-910-A06_NODE_10	6	4345	5313	1	D										Domain of Unknown Function (DUF1907) [PF08925.15]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_7	final_contigs_AG-910-A06	AG-910-A06_NODE_10	7	5310	6125	1	C	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]								Ketopantoate hydroxymethyltransferase [PF02548.19]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_8	final_contigs_AG-910-A06	AG-910-A06_NODE_10	8	6122	6913	-1	C	K02510	4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]								HpcH/HpaI aldolase/citrate lyase family [PF03328.18]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_9	final_contigs_AG-910-A06	AG-910-A06_NODE_10	9	6913	8355	-1	C	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]								Aldehyde dehydrogenase family [PF00171.26]; Acyl-CoA reductase (LuxC) [PF05893.18]; Protein of unknown function (DUF1487) [PF07368.15]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_10	final_contigs_AG-910-A06	AG-910-A06_NODE_10	10	8411	10255	1	C	K03336	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]								Thiamine pyrophosphate enzyme, central domain [PF00205.26]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.25]; Thiamine pyrophosphate enzyme, N-terminal TPP binding domain [PF02776.22]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_11	final_contigs_AG-910-A06	AG-910-A06_NODE_10	11	10265	11422	1	D										Oxidoreductase family, NAD-binding Rossmann fold [PF01408.26]; Oxidoreductase family, C-terminal alpha/beta domain [PF02894.21]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_12	final_contigs_AG-910-A06	AG-910-A06_NODE_10	12	11430	12452	1	D										D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.23]; D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain [PF00389.34]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_13	final_contigs_AG-910-A06	AG-910-A06_NODE_10	13	12475	13224	1	D										ABC transporter [PF00005.31]					0
final_contigs_AG-910-A06_AG-910-A06_NODE_10_14	final_contigs_AG-910-A06	AG-910-A06_NODE_10	14	13227	14240	1	C	K10440	ribose transport system permease protein								Branched-chain amino acid transport system / permease component [PF02653.20]					0
